conflict_name,operation_name,conflict_start_date,20_day_period,time_period,date_recorded,children_killed_min_first_20_days,children_killed_max_first_20_days,perpetrators,source
Afghanistan (2001),"Operation Enduring Freedom (phase 1)
Operation Freedom's Sentinel (phase 2)","October 7, 2001","October 7, 2001 to
October 27, 2001",2001 - 2021,"October 26, 2003",67,67,U.S.,https://dcas.dmdc.osd.mil/dcas/app/conflictCasualties/oef
"Iraq War / Second Gulf War 
(2003)","Opreation Iraqi Freedom (CENTCOM)
Operation TELIC (UK)
Operation Falconer/Catalyst/Bastille (Australia)","March 20, 2003","March 20, 2003 to
April 9, 2003",2003 - 2010,"April 9, 2003",78,86,"U.S. 
U.K.
Australia","https://www.centcom.mil/MEDIA/NEWS-ARTICLES/News-Article-View/Article/884135/obama-operation-iraqi-freedom-is-over/ 
https://www.ebsco.com/research-starters/military-history-and-science/operation-telic 
https://www.navy.gov.au/about-navy/history/history-milestones/iraq-war
https://www.iraqbodycount.org/database"
Pakistan Drone Strikes (2004),CIA's covert drone strikes program in FATA,"June 18, 2004","June 18, 2004 to
July 8. 2004",2004 - 2018,"July 8, 2004",0,0,"U.S.
ISI",https://www.thebureauinvestigates.com/projects/drone-war/pakistan
Somalia (2007),Airstrikes against Al-Qaeda,"January 7, 2007","January 7, 2007 to
January 27, 2007",2007 - present,,1,1,U.S.,https://airwars.org/conflict/us-forces-in-somalia/#incident-map
Libya (2011),"Operation Odyssey Dawn (US/AFRICOM)
Operation Unified Protector (NATO)
Operation Ellamy (UK)
Operation Harmattan (France)","March 17, 2011","March 17, 2011 to
April 6, 2011",2011,"February, 2012",0,0,NATO,"https://www.nato.int/en/what-we-do/operations-and-missions/nato-and-libya-february-october-2011#:~:text=Command%20structure%20of%20Operation%20Unified%20Protector%20;,AWACS%20concludes%20the%20last%20sortie%20over%20Libya.
https://www.amnesty.org/en/documents/mde19/003/2012/en/ "
Syria (2014),Operation Inherent Resolve (CENTCOM),"October 17, 2014","October 17, 2014 to
November 6, 2014",2014 - 2024,"October 23, 2014",8,8,"U.S.
Saudi Arabia
U.A.E.
Jordan
Bahrain
Qatar
Morocco
France, UK, Australia, Canada, Netherlands, Belgium, Denmark","https://www.inherentresolve.mil/WHO-WE-ARE/History/
https://www.cnn.com/2014/11/06/world/meast/syria-crisis#:~:text=Report%3A%20Children%20hit%20in%20strike&text=The%20coalition%20also%20struck%20the,and%20other%20people%20were%20injured.
https://www.abc.net.au/news/2014-10-23/us-led-air-strikes-kill-553-people-in-syria-monitor-says/5837166"
KSA/UAE-Yemen (2015),"Operation Decisive Storm (KSA)
Operation Restoring Hope
Operation Golden Arrow","March 26, 2015","March 26, 2015 to
April 15, 2015",March - April 2015,,,,"Saudi Arabia
U.A.E.
U.S.",https://edition.cnn.com/interactive/2018/09/world/yemen-airstrikes-intl/
Ukraine (2022),Operation Atlantic Resolve (started in 2014),"February 24, 2022","February 24, 2022 to 
March 16, 2022",2014-2022,,,,"Russia
U.S.",
"Israel-Iran (The 12 Day war)
(2025)",Operation Rising Lion (IDF),"June 13, 2025","June 13, 2025 to
June 24, 2025","June 13 - 24, 2025","June 24, 2025",13,13,"Israel
U.S.",https://shafaq.com/en/Middle-East/Over-600-civilians-killed-in-Iran-during-12-day-war-with-Israel
US-Yemen (2025),Airstrikes against Houthis,"March 15, 2025","March 15, 2025 to 
April 05, 2025",,"March 28, 2025",5,9,U.S.,"https://www.ap.org/news-highlights/spotlights/2025/new-us-airstrike-campaign-targeting-yemens-houthi-rebels-more-intense-than-last-ap-review-finds/
https://airwars.org/civilian-casualties/usyem250323a-march-23-2025/"
Israel-Iran (2026),"Operation Epic Fury (US)
Opoeration True Promise (Iran)
Operation Roaring Lion (Israel)","February 28, 2026","February 28. 2026 to
March 20, 2026",2026,"March 20, 2026",168,206,"Israel
U.S.",https://www.aljazeera.com/news/2026/3/1/us-israel-attacks-on-iran-death-toll-and-injuries-live-tracker